id,job_title,nice_areas,nice_subcategories,ksa,tasks
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of cryptography and cryptographic key management concepts.,"Manage Accreditation Packages (e.g., ISO/IEC 15026-2)."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of known vulnerabilities from alerts, advisories, errata, and bulletins.","Review authorization and assurance documents to confirm that the level of risk is within acceptable limits for each software application, system, and network."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of cybersecurity principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).","Establish acceptable limits for the software application, network, or system."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of Risk Management Framework (RMF) requirements.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities.","Develop methods to monitor and measure risk, compliance, and assurance efforts."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.,"Develop specifications to ensure risk, compliance, and assurance efforts conform with security, resilience, and dependability requirements at the software application, system, and network environment level."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of structured analysis principles and methods.,Draft statements of preliminary or residual security risks for system operation.
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of systems diagnostic tools and fault identification techniques.,Maintain information systems assurance and accreditation materials.
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of the organizationﾒs enterprise information technology (IT) goals and objectives.,"Monitor and evaluate a system's compliance with information technology (IT) security, resilience, and dependability requirements."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of the organization's core business/mission processes.,"Perform validation steps, comparing actual results with expected results and analyze the differences to identify impact and risks."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zackman, Federal Enterprise Architecture [FEA]).",Plan and conduct security authorization reviews and assurance case development for initial installation of systems and networks.
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of Personally Identifiable Information (PII) data security standards.,"Provide an accurate technical evaluation of the software application, system, or network, documenting the security posture, capabilities, and vulnerabilities against relevant cybersecurity compliances."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of Payment Card Industry (PCI) data security standards.,"Recommend new or revised security, resilience, and dependability measures based on the results of reviews."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of Personal Health Information (PHI) data security standards.,"Verify that application software/network/system security postures are implemented as stated, document deviations, and recommend required actions to correct those deviations."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of applicable laws (e.g., Electronic Communications Privacy Act, Foreign Intelligence Surveillance Act, Protect America Act, search and seizure laws, civil liberties and privacy laws), statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures relevant to work performed.",Verify that the software application/network/system accreditation and assurance documentation is current.
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of information technology (IT) supply chain security and risk management policies, requirements, and procedures.","Develop security compliance processes and/or audits for external services (e.g., cloud service providers, data centers)."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"wledge of local specialized system requirements (e.g., critical infrastructure systems that may not use standard information technology [IT]) for safety, performance, and reliability.",Develop and Implement cybersecurity independent audit processes for application software/networks/systems and oversee ongoing independent audits to ensure that operational and Research and Design (R&D) processes and procedures are in compliance with organizational and mandatory cybersecurity requirements and accurately followed by Systems Administrators and other cybersecurity staff when performing their day-to-day activities.
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of relevant laws, policies, procedures, or governance related to critical infrastructure.","Conduct Privacy Impact Assessments (PIA) of the applicationﾒs security design for the appropriate security controls, which protect the confidentiality and integrity of Personally Identifiable Information (PII)."
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"* Knowledge of computer networking concepts and protocols, and network security methodologies. ",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"* Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"* Knowledge of national and international laws, regulations, policies, and ethics as they relate to cybersecurity. ",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,* Knowledge of cybersecurity principles.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,* Knowledge of cyber threats and vulnerabilities. ,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,* Knowledge of specific operational impacts of cybersecurity lapses.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of organization's enterprise information security architecture system.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of organization's evaluation and validation requirements.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of embedded systems.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of the Security Assessment and Authorization process.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of cybersecurity principles used to manage risks related to the use, processing, storage, and transmission of information or data.",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption). ",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of penetration testing principles, tools, and techniques.",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of system and application security threats and vulnerabilities.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Knowledge of confidentiality, integrity, and availability principles. ",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Skill in discerning the protection needs (i.e., security controls) of information systems and networks.",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Skill in identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.",
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Skill in evaluating the trustworthiness of the supplier and/or product.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Knowledge of an organization's information classification program and procedures for information compromise.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.,
m1,Cybersecurity Analyst,Securely Provision,Risk Management ,"Skill in applying confidentiality, integrity, and availability principles.",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.,"Analyze information to determine, recommend, and plan the development of a new application or modification of an existing application."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of complex data structures.,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of computer programming principles such as object-oriented design.,"Apply coding and testing standards, apply security testing tools including ""'fuzzing"" static-analysis code scanning tools, and conduct code reviews."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of organization's enterprise information security architecture system.,Apply secure code documentation.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of organization's evaluation and validation requirements.,"Capture security controls used during the requirements phase to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of embedded systems.,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of cybersecurity principles and methods that apply to software development.,Conduct trial runs of programs and software applications to ensure the desired information is produced and instructions and security levels are correct. 
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of cybersecurity principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).","Confer with systems analysts, engineers, programmers, and others to design application and to obtain information on project limitations and capabilities, performance requirements, and interfaces."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of low-level computer languages (e.g., assembly languages).",Consult with engineering staff to evaluate interface between hardware and software.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.",Correct errors by making appropriate changes and rechecking the program to ensure desired results are produced.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of operating systems.,"Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of penetration testing principles, tools, and techniques.","Develop software system testing and validation procedures, programming, and documentation."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of Privacy Impact Assessments.,Develop secure code and error handling.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of programming language structures and logic.,"Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of secure configuration management techniques.,Identify basic common coding flaws at a high level.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of software debugging principles.,Identify security implications and apply methodologies within centralized and decentralized environments across the enterprises computer systems in software development.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of software design tools, methods, and techniques.",Identify security issues around steady state operation and management of software and incorporate security measures that must be taken when a product reaches its end of life.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of software development models (e.g., Waterfall Model, Spiral Model).","Modify and maintain existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of software engineering.,Perform integrated quality assurance testing for security functionality and resiliency attack.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of structured analysis principles and methods.,Perform secure programming and identify potential flaws in codes to mitigate vulnerabilities.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of system and application security threats and vulnerabilities.,"Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.","Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of web services, including service-oriented architecture, Simple Object Access Protocol, and web service description language.","Address security implications in the software acceptance phase including completion criteria, risk acceptance and documentation, common criteria, and methods of independent testing."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in conducting software debugging.,"Translate security requirements into application design elements including documenting the elements of the software attack surfaces, conducting threat modeling, and defining any specific security criteria."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in creating and utilizing mathematical or statistical models.,"Apply cybersecurity functions (e.g., encryption, access control, identity management) to reduce exploitation opportunities."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Skill in creating programs that validate and process multiple inputs including command line arguments, environmental variables, and input streams.",Design countermeasures and mitigations against potential exploitations of programming language weaknesses and vulnerabilities in system and elements.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in designing countermeasures to identified security risks.,Determine and document software patches or the extent of releases that would leave software vulnerable.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Skill in developing applications that can log and handle errors, exceptions, and application faults and logging.",Enable applications with public keying by leveraging existing public key infrastructure (PKI) libraries and incorporating certificate management and encryption functionalities when appropriate.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in developing and applying security system access controls.,"Identify and leverage the enterprise-wide security services while designing and developing secure applications (e.g., Enterprise PKI, Federated Identity server, Enterprise AV solution) when appropriate."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Skill in discerning the protection needs (i.e., security controls) of information systems and networks.",Identify and leverage the enterprise-wide version control system while designing and developing secure applications.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Skill in writing code in a currently supported programming language (e.g., Java, C++).",Consult with customers about software system design and maintenance. 
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of interpreted and compiled computer languages.,Direct software programming and development of documentation.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of secure coding techniques.,"Supervise and assign work to programmers, designers, technologists and technicians and other engineering and scientific personnel."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization).","Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in using code analysis tools.,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Ability to tailor code analysis for application-specific concerns.,Analyze and provide information to stakeholders that will support the development of security a application or modification of an existing security application.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of software quality assurance process.,Analyze security needs and software requirements to determine feasibility of design within time and cost constraints and security mandates.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of root cause analysis techniques.,Develop threat model based on customer interviews and requirements.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of supply chain risk management standards, processes, and practices.","Develop system testing and validation procedures, programming, and documentation."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in performing root cause analysis.,Develop secure software testing and validation procedures.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Skill in secure test plan design (e. g. unit, integration, system, acceptance).","Perform secure program testing, review, and/or assessment to identify potential flaws in codes and mitigate vulnerabilities."
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of Personally Identifiable Information (PII) data security standards.,Perform penetration testing as required for new or updated applications.
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of Payment Card Industry (PCI) data security standards.,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of Personal Health Information (PHI) data security standards.,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of information technology (IT) risk management policies, requirements, and procedures.",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"wledge of local specialized system requirements (e.g., critical infrastructure systems that may not use standard information technology [IT]) for safety, performance, and reliability.",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Ability to develop secure software according to secure software deployment methodologies, tools, and practices.",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zackman, Federal Enterprise Architecture [FEA]).",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing).",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic).",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"* Knowledge of computer networking concepts and protocols, and network security methodologies. ",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"* Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"* Knowledge of national and international laws, regulations, policies, and ethics as they relate to cybersecurity. ",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,* Knowledge of cybersecurity principles.,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,* Knowledge of cyber threats and vulnerabilities. ,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,* Knowledge of specific operational impacts of cybersecurity lapses.,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of local area network (LAN) and wide area network (WAN) principles.,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Ability to use and understand complex mathematical concepts (e.g., discrete math).",
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in using code analysis tools. ,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Skill in integrating black box security testing tools into quality assurance process of software releases.,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,Knowledge of root cause analysis techniques. ,
m1,Cybersecurity Analyst,Securely Provision,Software Development ,"Knowledge of secure software deployment methodologies, tools, and practices.",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of database systems.,Analyze user needs and requirements to plan architecture.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of organization's enterprise information security architecture system.,Captures and integrates essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of organization's evaluation and validation requirements.,"Define appropriate levels of system availability based on critical system functions and ensure system requirements identify appropriate disaster recovery and continuity of operations requirements to include any appropriate fail-over/alternate site requirements, backup requirements, and material supportability requirements for system recover/restoration."
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of embedded systems.,Develop enterprise architecture or system components required to meet user needs.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of system fault tolerance methodologies.,Employ secure configuration management processes.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of how system components are installed, integrated, and optimized.",Document and update as necessary all definition and architecture activities.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of the Security Assessment and Authorization process.,Ensure acquired or developed system(s) and architecture(s) are consistent with organization's cybersecurity architecture guidelines.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of industry-standard and organizationally accepted analysis principles and methods.,Identify and prioritize critical business functions in collaboration with organizational stakeholders.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of cybersecurity principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).",Integrate results regarding the identification of gaps in security architecture.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).",Plan implementation strategy to ensure enterprise components can be integrated and aligned.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Ability to build architectures and frameworks.,"Provide advice on project costs, design concepts, or design changes."
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of cybersecurity methods, such as firewalls, demilitarized zones, and encryption.","Provide input to the Risk Management Framework process activities and related documentation (e.g., system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials)."
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of network access, identity, and access management (e.g., public key infrastructure [PKI]).",Translate proposed capabilities into technical requirements.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.",Document how the implementation of a new system or new interface between systems impacts the current and target environment including but not limited to security posture.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and tradeoffs.",Integrate key management functions as related to cyberspace.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of operating systems.,Write detailed functional specifications that document the architecture development process. 
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).","Develop a system security context, a preliminary system security CONOPS, and define baseline system security requirements in accordance with applicable cybersecurity requirements. "
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of parallel and distributed computing concepts.,"Analyze candidate architectures, allocate security services, and select security mechanisms. "
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of configuration management techniques.,Evaluate security architectures and designs to determine the adequacy of security design and architecture proposed or provided in response to requirements contained in acquisition documents. 
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of security system design tools, methods, and techniques.",Define and prioritize essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of N-tiered typologies including server and client operating systems.,"Develop/integrate cybersecurity designs for systems and networks with multilevel security requirements or requirements for the processing of multiple classification levels of data primarily applicable to government organizations (e.g., UNCLASSIFIED, SECRET, and TOP SECRET)."
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of software engineering.,"Document and address organization's information security, cybersecurity architecture, and systems security engineering requirements throughout the acquisition lifecycle."
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of systems testing and evaluation methods.,"Document the protection needs (i.e., security controls) for the information system(s) and network(s) and document appropriately."
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Ability to execute technology integration processes.,"Perform security reviews, identify gaps in security architecture, and develop a security risk management plan."
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of key telecommunications concepts (e.g., Routing Algorithms, Fiber Optics Systems Link Budgeting, Add/Drop Multiplexers).",Provide input on security requirements to be included in statements of work and other appropriate procurement documents.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of the enterprise information technology (IT) architectural concepts and patterns to include baseline and target architectures.,Define and document how the implementation of a new system or new interfaces between systems impacts the security posture of the current environment.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of integrating the organizationﾒs goals and objectives into the architecture.,Assess and design security management functions as related to cyberspace.
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of the systems engineering process.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Skill in applying and incorporating information technologies into proposed solutions.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Skill in designing the integration of hardware and software solutions.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Skill in design modeling and building use cases (e.g., unified modeling language).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Skill in the use of design methods. ,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF]).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of program protection planning to include information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements.",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"wledge of local specialized system requirements (e.g., critical infrastructure systems that may not use standard information technology [IT]) for safety, performance, and reliability.",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of an organization's information classification program and procedures for information compromise.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"* Knowledge of computer networking concepts and protocols, and network security methodologies. ",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"* Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"* Knowledge of national and international laws, regulations, policies, and ethics as they relate to cybersecurity. ",
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,* Knowledge of cybersecurity principles.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,* Knowledge of cyber threats and vulnerabilities. ,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,* Knowledge of specific operational impacts of cybersecurity lapses.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Knowledge of multi-level/security cross domain solutions.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Ability to optimize systems to meet enterprise performance requirements.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,Ability to apply an organization's goals and objectives to develop and maintain architecture.,
m1,Cybersecurity Analyst,Securely Provision,Systems Architecture ,"Skill in determining how a security system should work and how changes in conditions, operations, or the environment will affect these outcomes.",
